fraction,seed,method,auc
0.001,0,uda,0.5866666666666667
0.001,0,target_only,0.7230555555555556
0.001,0,vla,0.5786111111111111
0.001,0,vla_st,0.5900000000000001
0.001,0,routed,0.5786111111111111
0.001,0,oracle,0.8285185185185185
0.001,1,uda,0.5866666666666667
0.001,1,target_only,0.7343518518518518
0.001,1,vla,0.7152777777777778
0.001,1,vla_st,0.7687037037037037
0.001,1,routed,0.7152777777777778
0.001,1,oracle,0.8285185185185185
0.001,2,uda,0.5866666666666667
0.001,2,target_only,0.6028703703703704
0.001,2,vla,0.7003703703703703
0.001,2,vla_st,0.7404629629629629
0.001,2,routed,0.7003703703703703
0.001,2,oracle,0.8285185185185185
0.001,3,uda,0.5866666666666667
0.001,3,target_only,0.6328703703703704
0.001,3,vla,0.5724074074074075
0.001,3,vla_st,0.5724074074074075
0.001,3,routed,0.5724074074074075
0.001,3,oracle,0.8285185185185185
0.001,4,uda,0.5866666666666667
0.001,4,target_only,0.7497222222222222
0.001,4,vla,0.697685185185185
0.001,4,vla_st,0.7196296296296296
0.001,4,routed,0.697685185185185
0.001,4,oracle,0.8285185185185185
0.005,0,uda,0.5866666666666667
0.005,0,target_only,0.7230555555555556
0.005,0,vla,0.5786111111111111
0.005,0,vla_st,0.5900000000000001
0.005,0,routed,0.5786111111111111
0.005,0,oracle,0.8285185185185185
0.005,1,uda,0.5866666666666667
0.005,1,target_only,0.7343518518518518
0.005,1,vla,0.7152777777777778
0.005,1,vla_st,0.7687037037037037
0.005,1,routed,0.7152777777777778
0.005,1,oracle,0.8285185185185185
0.005,2,uda,0.5866666666666667
0.005,2,target_only,0.6028703703703704
0.005,2,vla,0.7003703703703703
0.005,2,vla_st,0.7404629629629629
0.005,2,routed,0.7003703703703703
0.005,2,oracle,0.8285185185185185
0.005,3,uda,0.5866666666666667
0.005,3,target_only,0.6328703703703704
0.005,3,vla,0.5724074074074075
0.005,3,vla_st,0.5724074074074075
0.005,3,routed,0.5724074074074075
0.005,3,oracle,0.8285185185185185
0.005,4,uda,0.5866666666666667
0.005,4,target_only,0.7497222222222222
0.005,4,vla,0.697685185185185
0.005,4,vla_st,0.7196296296296296
0.005,4,routed,0.697685185185185
0.005,4,oracle,0.8285185185185185
0.01,0,uda,0.5866666666666667
0.01,0,target_only,0.7230555555555556
0.01,0,vla,0.5786111111111111
0.01,0,vla_st,0.5900000000000001
0.01,0,routed,0.5786111111111111
0.01,0,oracle,0.8285185185185185
0.01,1,uda,0.5866666666666667
0.01,1,target_only,0.7343518518518518
0.01,1,vla,0.7152777777777778
0.01,1,vla_st,0.7687037037037037
0.01,1,routed,0.7152777777777778
0.01,1,oracle,0.8285185185185185
0.01,2,uda,0.5866666666666667
0.01,2,target_only,0.6028703703703704
0.01,2,vla,0.7003703703703703
0.01,2,vla_st,0.7404629629629629
0.01,2,routed,0.7003703703703703
0.01,2,oracle,0.8285185185185185
0.01,3,uda,0.5866666666666667
0.01,3,target_only,0.6328703703703704
0.01,3,vla,0.5724074074074075
0.01,3,vla_st,0.5724074074074075
0.01,3,routed,0.5724074074074075
0.01,3,oracle,0.8285185185185185
0.01,4,uda,0.5866666666666667
0.01,4,target_only,0.7497222222222222
0.01,4,vla,0.697685185185185
0.01,4,vla_st,0.7196296296296296
0.01,4,routed,0.697685185185185
0.01,4,oracle,0.8285185185185185
0.05,0,uda,0.5866666666666667
0.05,0,target_only,0.750925925925926
0.05,0,vla,0.6844444444444445
0.05,0,vla_st,0.6657407407407407
0.05,0,routed,0.6844444444444445
0.05,0,oracle,0.8285185185185185
0.05,1,uda,0.5866666666666667
0.05,1,target_only,0.8184259259259259
0.05,1,vla,0.777962962962963
0.05,1,vla_st,0.7977777777777778
0.05,1,routed,0.777962962962963
0.05,1,oracle,0.8285185185185185
0.05,2,uda,0.5866666666666667
0.05,2,target_only,0.725
0.05,2,vla,0.6698148148148149
0.05,2,vla_st,0.7081481481481482
0.05,2,routed,0.6698148148148149
0.05,2,oracle,0.8285185185185185
0.05,3,uda,0.5866666666666667
0.05,3,target_only,0.7
0.05,3,vla,0.6411111111111112
0.05,3,vla_st,0.6927777777777778
0.05,3,routed,0.6411111111111112
0.05,3,oracle,0.8285185185185185
0.05,4,uda,0.5866666666666667
0.05,4,target_only,0.7905555555555555
0.05,4,vla,0.7287037037037037
0.05,4,vla_st,0.7696296296296297
0.05,4,routed,0.7287037037037037
0.05,4,oracle,0.8285185185185185
0.1,0,uda,0.5866666666666667
0.1,0,target_only,0.7292592592592593
0.1,0,vla,0.7048148148148148
0.1,0,vla_st,0.7325925925925926
0.1,0,routed,0.7048148148148148
0.1,0,oracle,0.8285185185185185
0.1,1,uda,0.5866666666666667
0.1,1,target_only,0.8340740740740741
0.1,1,vla,0.7994444444444444
0.1,1,vla_st,0.8127777777777778
0.1,1,routed,0.7994444444444444
0.1,1,oracle,0.8285185185185185
0.1,2,uda,0.5866666666666667
0.1,2,target_only,0.7870370370370371
0.1,2,vla,0.7385185185185185
0.1,2,vla_st,0.7753703703703704
0.1,2,routed,0.7385185185185185
0.1,2,oracle,0.8285185185185185
0.1,3,uda,0.5866666666666667
0.1,3,target_only,0.7527777777777778
0.1,3,vla,0.6698148148148148
0.1,3,vla_st,0.7437037037037038
0.1,3,routed,0.6698148148148148
0.1,3,oracle,0.8285185185185185
0.1,4,uda,0.5866666666666667
0.1,4,target_only,0.7816666666666667
0.1,4,vla,0.75
0.1,4,vla_st,0.7444444444444444
0.1,4,routed,0.75
0.1,4,oracle,0.8285185185185185
0.25,0,uda,0.5866666666666667
0.25,0,target_only,0.7555555555555555
0.25,0,vla,0.7538888888888889
0.25,0,vla_st,0.7618518518518518
0.25,0,routed,0.7538888888888889
0.25,0,oracle,0.8285185185185185
0.25,1,uda,0.5866666666666667
0.25,1,target_only,0.8098148148148148
0.25,1,vla,0.8244444444444444
0.25,1,vla_st,0.817962962962963
0.25,1,routed,0.8244444444444444
0.25,1,oracle,0.8285185185185185
0.25,2,uda,0.5866666666666667
0.25,2,target_only,0.7962962962962963
0.25,2,vla,0.7907407407407407
0.25,2,vla_st,0.7998148148148149
0.25,2,routed,0.7907407407407407
0.25,2,oracle,0.8285185185185185
0.25,3,uda,0.5866666666666667
0.25,3,target_only,0.7985185185185185
0.25,3,vla,0.7768518518518519
0.25,3,vla_st,0.792962962962963
0.25,3,routed,0.7768518518518519
0.25,3,oracle,0.8285185185185185
0.25,4,uda,0.5866666666666667
0.25,4,target_only,0.7600000000000001
0.25,4,vla,0.7425925925925926
0.25,4,vla_st,0.757962962962963
0.25,4,routed,0.7425925925925926
0.25,4,oracle,0.8285185185185185
