fraction,seed,method,auc
0.001,0,uda,0.5625
0.001,0,target_only,0.6388888888888888
0.001,0,vla,0.788888888888889
0.001,0,vla_st,0.8430555555555556
0.001,0,routed,0.6388888888888888
0.001,0,oracle,0.8847222222222222
0.001,1,uda,0.5625
0.001,1,target_only,0.8104166666666667
0.001,1,vla,0.7930555555555556
0.001,1,vla_st,0.8055555555555556
0.001,1,routed,0.8104166666666667
0.001,1,oracle,0.8847222222222222
0.001,2,uda,0.5625
0.001,2,target_only,0.7555555555555555
0.001,2,vla,0.7520833333333334
0.001,2,vla_st,0.7520833333333334
0.001,2,routed,0.7555555555555555
0.001,2,oracle,0.8847222222222222
0.001,3,uda,0.5625
0.001,3,target_only,0.6791666666666667
0.001,3,vla,0.8388888888888889
0.001,3,vla_st,0.7402777777777778
0.001,3,routed,0.6791666666666667
0.001,3,oracle,0.8847222222222222
0.001,4,uda,0.5625
0.001,4,target_only,0.8291666666666667
0.001,4,vla,0.8666666666666667
0.001,4,vla_st,0.8659722222222223
0.001,4,routed,0.8291666666666667
0.001,4,oracle,0.8847222222222222
0.005,0,uda,0.5625
0.005,0,target_only,0.6388888888888888
0.005,0,vla,0.788888888888889
0.005,0,vla_st,0.8430555555555556
0.005,0,routed,0.6388888888888888
0.005,0,oracle,0.8847222222222222
0.005,1,uda,0.5625
0.005,1,target_only,0.8104166666666667
0.005,1,vla,0.7930555555555556
0.005,1,vla_st,0.8055555555555556
0.005,1,routed,0.8104166666666667
0.005,1,oracle,0.8847222222222222
0.005,2,uda,0.5625
0.005,2,target_only,0.7555555555555555
0.005,2,vla,0.7520833333333334
0.005,2,vla_st,0.7520833333333334
0.005,2,routed,0.7555555555555555
0.005,2,oracle,0.8847222222222222
0.005,3,uda,0.5625
0.005,3,target_only,0.6791666666666667
0.005,3,vla,0.8388888888888889
0.005,3,vla_st,0.7402777777777778
0.005,3,routed,0.6791666666666667
0.005,3,oracle,0.8847222222222222
0.005,4,uda,0.5625
0.005,4,target_only,0.8291666666666667
0.005,4,vla,0.8666666666666667
0.005,4,vla_st,0.8659722222222223
0.005,4,routed,0.8291666666666667
0.005,4,oracle,0.8847222222222222
0.01,0,uda,0.5625
0.01,0,target_only,0.6388888888888888
0.01,0,vla,0.788888888888889
0.01,0,vla_st,0.8430555555555556
0.01,0,routed,0.6388888888888888
0.01,0,oracle,0.8847222222222222
0.01,1,uda,0.5625
0.01,1,target_only,0.8104166666666667
0.01,1,vla,0.7930555555555556
0.01,1,vla_st,0.8055555555555556
0.01,1,routed,0.8104166666666667
0.01,1,oracle,0.8847222222222222
0.01,2,uda,0.5625
0.01,2,target_only,0.7555555555555555
0.01,2,vla,0.7520833333333334
0.01,2,vla_st,0.7520833333333334
0.01,2,routed,0.7555555555555555
0.01,2,oracle,0.8847222222222222
0.01,3,uda,0.5625
0.01,3,target_only,0.6791666666666667
0.01,3,vla,0.8388888888888889
0.01,3,vla_st,0.7402777777777778
0.01,3,routed,0.6791666666666667
0.01,3,oracle,0.8847222222222222
0.01,4,uda,0.5625
0.01,4,target_only,0.8291666666666667
0.01,4,vla,0.8666666666666667
0.01,4,vla_st,0.8659722222222223
0.01,4,routed,0.8291666666666667
0.01,4,oracle,0.8847222222222222
0.05,0,uda,0.5625
0.05,0,target_only,0.6388888888888888
0.05,0,vla,0.788888888888889
0.05,0,vla_st,0.8430555555555556
0.05,0,routed,0.6388888888888888
0.05,0,oracle,0.8847222222222222
0.05,1,uda,0.5625
0.05,1,target_only,0.8104166666666667
0.05,1,vla,0.7930555555555556
0.05,1,vla_st,0.8055555555555556
0.05,1,routed,0.8104166666666667
0.05,1,oracle,0.8847222222222222
0.05,2,uda,0.5625
0.05,2,target_only,0.7555555555555555
0.05,2,vla,0.7520833333333334
0.05,2,vla_st,0.7520833333333334
0.05,2,routed,0.7555555555555555
0.05,2,oracle,0.8847222222222222
0.05,3,uda,0.5625
0.05,3,target_only,0.6791666666666667
0.05,3,vla,0.8388888888888889
0.05,3,vla_st,0.7402777777777778
0.05,3,routed,0.6791666666666667
0.05,3,oracle,0.8847222222222222
0.05,4,uda,0.5625
0.05,4,target_only,0.8291666666666667
0.05,4,vla,0.8666666666666667
0.05,4,vla_st,0.8659722222222223
0.05,4,routed,0.8291666666666667
0.05,4,oracle,0.8847222222222222
0.1,0,uda,0.5625
0.1,0,target_only,0.8305555555555556
0.1,0,vla,0.7902777777777777
0.1,0,vla_st,0.8624999999999999
0.1,0,routed,0.8305555555555556
0.1,0,oracle,0.8847222222222222
0.1,1,uda,0.5625
0.1,1,target_only,0.8444444444444444
0.1,1,vla,0.8208333333333333
0.1,1,vla_st,0.8319444444444445
0.1,1,routed,0.8444444444444444
0.1,1,oracle,0.8847222222222222
0.1,2,uda,0.5625
0.1,2,target_only,0.7569444444444444
0.1,2,vla,0.7236111111111112
0.1,2,vla_st,0.7680555555555556
0.1,2,routed,0.7569444444444444
0.1,2,oracle,0.8847222222222222
0.1,3,uda,0.5625
0.1,3,target_only,0.8958333333333334
0.1,3,vla,0.8500000000000001
0.1,3,vla_st,0.8597222222222223
0.1,3,routed,0.8958333333333334
0.1,3,oracle,0.8847222222222222
0.1,4,uda,0.5625
0.1,4,target_only,0.8680555555555556
0.1,4,vla,0.8625
0.1,4,vla_st,0.8861111111111111
0.1,4,routed,0.8680555555555556
0.1,4,oracle,0.8847222222222222
0.25,0,uda,0.5625
0.25,0,target_only,0.875
0.25,0,vla,0.8625
0.25,0,vla_st,0.8847222222222222
0.25,0,routed,0.8625
0.25,0,oracle,0.8847222222222222
0.25,1,uda,0.5625
0.25,1,target_only,0.8847222222222222
0.25,1,vla,0.8736111111111111
0.25,1,vla_st,0.8861111111111111
0.25,1,routed,0.8847222222222222
0.25,1,oracle,0.8847222222222222
0.25,2,uda,0.5625
0.25,2,target_only,0.8694444444444445
0.25,2,vla,0.875
0.25,2,vla_st,0.8638888888888889
0.25,2,routed,0.875
0.25,2,oracle,0.8847222222222222
0.25,3,uda,0.5625
0.25,3,target_only,0.8930555555555555
0.25,3,vla,0.8541666666666666
0.25,3,vla_st,0.8958333333333333
0.25,3,routed,0.8930555555555555
0.25,3,oracle,0.8847222222222222
0.25,4,uda,0.5625
0.25,4,target_only,0.913888888888889
0.25,4,vla,0.8916666666666666
0.25,4,vla_st,0.9055555555555556
0.25,4,routed,0.913888888888889
0.25,4,oracle,0.8847222222222222
