fraction,seed,method,auc
0.001,0,uda,0.7469377662811929
0.001,0,target_only,0.6834392118076689
0.001,0,vla,0.6954028454047474
0.001,0,vla_st,0.75512591296409
0.001,0,routed,0.6834392118076689
0.001,0,oracle,0.8993076688983567
0.001,1,uda,0.7469377662811929
0.001,1,target_only,0.7586256086427268
0.001,1,vla,0.7576460742544127
0.001,1,vla_st,0.7404233870967741
0.001,1,routed,0.7576460742544127
0.001,1,oracle,0.8993076688983567
0.001,2,uda,0.7469377662811929
0.001,2,target_only,0.7544792300669507
0.001,2,vla,0.7673843578819233
0.001,2,vla_st,0.7759433962264151
0.001,2,routed,0.7673843578819233
0.001,2,oracle,0.8993076688983567
0.001,3,uda,0.7469377662811929
0.001,3,target_only,0.6721603012781497
0.001,3,vla,0.7277560103469264
0.001,3,vla_st,0.7484974132684115
0.001,3,routed,0.6721603012781497
0.001,3,oracle,0.8993076688983567
0.001,4,uda,0.7469377662811929
0.001,4,target_only,0.7235525715155204
0.001,4,vla,0.7028206786366403
0.001,4,vla_st,0.7034863816189897
0.001,4,routed,0.7028206786366403
0.001,4,oracle,0.8993076688983567
0.005,0,uda,0.7469377662811929
0.005,0,target_only,0.6834392118076689
0.005,0,vla,0.6954028454047474
0.005,0,vla_st,0.75512591296409
0.005,0,routed,0.6834392118076689
0.005,0,oracle,0.8993076688983567
0.005,1,uda,0.7469377662811929
0.005,1,target_only,0.7586256086427268
0.005,1,vla,0.7576460742544127
0.005,1,vla_st,0.7404233870967741
0.005,1,routed,0.7576460742544127
0.005,1,oracle,0.8993076688983567
0.005,2,uda,0.7469377662811929
0.005,2,target_only,0.7544792300669507
0.005,2,vla,0.7673843578819233
0.005,2,vla_st,0.7759433962264151
0.005,2,routed,0.7673843578819233
0.005,2,oracle,0.8993076688983567
0.005,3,uda,0.7469377662811929
0.005,3,target_only,0.6721603012781497
0.005,3,vla,0.7277560103469264
0.005,3,vla_st,0.7484974132684115
0.005,3,routed,0.6721603012781497
0.005,3,oracle,0.8993076688983567
0.005,4,uda,0.7469377662811929
0.005,4,target_only,0.7235525715155204
0.005,4,vla,0.7028206786366403
0.005,4,vla_st,0.7034863816189897
0.005,4,routed,0.7028206786366403
0.005,4,oracle,0.8993076688983567
0.01,0,uda,0.7469377662811929
0.01,0,target_only,0.7771226415094341
0.01,0,vla,0.8007075471698113
0.01,0,vla_st,0.803104077906269
0.01,0,routed,0.8007075471698113
0.01,0,oracle,0.8993076688983567
0.01,1,uda,0.7469377662811929
0.01,1,target_only,0.7946781801582472
0.01,1,vla,0.789580797321972
0.01,1,vla_st,0.796808429701765
0.01,1,routed,0.789580797321972
0.01,1,oracle,0.8993076688983567
0.01,2,uda,0.7469377662811929
0.01,2,target_only,0.8076498782714547
0.01,2,vla,0.7857102099817407
0.01,2,vla_st,0.8062043517954961
0.01,2,routed,0.7857102099817407
0.01,2,oracle,0.8993076688983567
0.01,3,uda,0.7469377662811929
0.01,3,target_only,0.7781782562385878
0.01,3,vla,0.8116440961655508
0.01,3,vla_st,0.777132151552039
0.01,3,routed,0.8116440961655508
0.01,3,oracle,0.8993076688983567
0.01,4,uda,0.7469377662811929
0.01,4,target_only,0.804074102251978
0.01,4,vla,0.7526437918441875
0.01,4,vla_st,0.7535187157638465
0.01,4,routed,0.7526437918441875
0.01,4,oracle,0.8993076688983567
0.05,0,uda,0.7469377662811929
0.05,0,target_only,0.8644058125380402
0.05,0,vla,0.8612104382227632
0.05,0,vla_st,0.8574634814363968
0.05,0,routed,0.8612104382227632
0.05,0,oracle,0.8993076688983567
0.05,1,uda,0.7469377662811929
0.05,1,target_only,0.8194042909312234
0.05,1,vla,0.8291615946439439
0.05,1,vla_st,0.8319575471698113
0.05,1,routed,0.8291615946439439
0.05,1,oracle,0.8993076688983567
0.05,2,uda,0.7469377662811929
0.05,2,target_only,0.8548577297626294
0.05,2,vla,0.8476110772976264
0.05,2,vla_st,0.851110772976263
0.05,2,routed,0.8476110772976264
0.05,2,oracle,0.8993076688983567
0.05,3,uda,0.7469377662811929
0.05,3,target_only,0.8479344187461959
0.05,3,vla,0.8464698721850272
0.05,3,vla_st,0.8666882227632381
0.05,3,routed,0.8464698721850272
0.05,3,oracle,0.8993076688983567
0.05,4,uda,0.7469377662811929
0.05,4,target_only,0.8454808277541085
0.05,4,vla,0.8294849360925136
0.05,4,vla_st,0.8248345252586732
0.05,4,routed,0.8294849360925136
0.05,4,oracle,0.8993076688983567
0.1,0,uda,0.7469377662811929
0.1,0,target_only,0.8726415094339621
0.1,0,vla,0.8693700547778453
0.1,0,vla_st,0.8830930462568474
0.1,0,routed,0.8693700547778453
0.1,0,oracle,0.8993076688983567
0.1,1,uda,0.7469377662811929
0.1,1,target_only,0.8645199330493001
0.1,1,vla,0.8540779062690201
0.1,1,vla_st,0.8669545039561778
0.1,1,routed,0.8540779062690201
0.1,1,oracle,0.8993076688983567
0.1,2,uda,0.7469377662811929
0.1,2,target_only,0.8587568472306757
0.1,2,vla,0.8563983566646379
0.1,2,vla_st,0.8659844796104686
0.1,2,routed,0.8563983566646379
0.1,2,oracle,0.8993076688983567
0.1,3,uda,0.7469377662811929
0.1,3,target_only,0.8721850273889228
0.1,3,vla,0.8678864881314667
0.1,3,vla_st,0.8695792757151553
0.1,3,routed,0.8678864881314667
0.1,3,oracle,0.8993076688983567
0.1,4,uda,0.7469377662811929
0.1,4,target_only,0.862427723676202
0.1,4,vla,0.8637020693852708
0.1,4,vla_st,0.875
0.1,4,routed,0.8637020693852708
0.1,4,oracle,0.8993076688983567
0.25,0,uda,0.7469377662811929
0.25,0,target_only,0.8894172245891662
0.25,0,vla,0.8846812233718807
0.25,0,vla_st,0.891642574558734
0.25,0,routed,0.8846812233718807
0.25,0,oracle,0.8993076688983567
0.25,1,uda,0.7469377662811929
0.25,1,target_only,0.882303712720633
0.25,1,vla,0.879184418746196
0.25,1,vla_st,0.8821515520389531
0.25,1,routed,0.879184418746196
0.25,1,oracle,0.8993076688983567
0.25,2,uda,0.7469377662811929
0.25,2,target_only,0.87503804017042
0.25,2,vla,0.8794887401095556
0.25,2,vla_st,0.8775296713329276
0.25,2,routed,0.8794887401095556
0.25,2,oracle,0.8993076688983567
0.25,3,uda,0.7469377662811929
0.25,3,target_only,0.879165398660986
0.25,3,vla,0.8812766281192941
0.25,3,vla_st,0.8819613511868533
0.25,3,routed,0.8812766281192941
0.25,3,oracle,0.8993076688983567
0.25,4,uda,0.7469377662811929
0.25,4,target_only,0.8896644856968958
0.25,4,vla,0.8841486609860012
0.25,4,vla_st,0.8886183810103471
0.25,4,routed,0.8841486609860012
0.25,4,oracle,0.8993076688983567
