fraction,seed,method,metric,value
0.001,0,uda,auc,0.6583333333333333
0.001,0,uda,accuracy,0.6296296296296297
0.001,0,uda_cal,auc,
0.001,0,uda_cal,accuracy,
0.001,0,target_only,auc,0.5
0.001,0,target_only,accuracy,0.5555555555555556
0.001,0,target_only_cal,auc,
0.001,0,target_only_cal,accuracy,
0.001,0,vla,auc,0.7402777777777778
0.001,0,vla,accuracy,0.6296296296296297
0.001,0,vla_st,auc,0.7555555555555555
0.001,0,vla_st,accuracy,0.5555555555555556
0.001,0,routed,auc,0.5
0.001,0,routed,accuracy,0.5555555555555556
0.001,0,oracle,auc,0.8847222222222222
0.001,0,oracle,accuracy,0.8148148148148148
0.001,1,uda,auc,0.6583333333333333
0.001,1,uda,accuracy,0.6296296296296297
0.001,1,uda_cal,auc,
0.001,1,uda_cal,accuracy,
0.001,1,target_only,auc,0.5
0.001,1,target_only,accuracy,0.5555555555555556
0.001,1,target_only_cal,auc,
0.001,1,target_only_cal,accuracy,
0.001,1,vla,auc,0.7583333333333334
0.001,1,vla,accuracy,0.7222222222222222
0.001,1,vla_st,auc,0.7847222222222222
0.001,1,vla_st,accuracy,0.6851851851851852
0.001,1,routed,auc,0.5
0.001,1,routed,accuracy,0.5555555555555556
0.001,1,oracle,auc,0.8847222222222222
0.001,1,oracle,accuracy,0.8148148148148148
0.001,2,uda,auc,0.6583333333333333
0.001,2,uda,accuracy,0.6296296296296297
0.001,2,uda_cal,auc,
0.001,2,uda_cal,accuracy,
0.001,2,target_only,auc,0.5
0.001,2,target_only,accuracy,0.5555555555555556
0.001,2,target_only_cal,auc,
0.001,2,target_only_cal,accuracy,
0.001,2,vla,auc,0.7444444444444445
0.001,2,vla,accuracy,0.6481481481481481
0.001,2,vla_st,auc,0.7444444444444445
0.001,2,vla_st,accuracy,0.6481481481481481
0.001,2,routed,auc,0.5
0.001,2,routed,accuracy,0.5555555555555556
0.001,2,oracle,auc,0.8847222222222222
0.001,2,oracle,accuracy,0.8148148148148148
0.001,3,uda,auc,0.6583333333333333
0.001,3,uda,accuracy,0.6296296296296297
0.001,3,uda_cal,auc,
0.001,3,uda_cal,accuracy,
0.001,3,target_only,auc,0.5
0.001,3,target_only,accuracy,0.5555555555555556
0.001,3,target_only_cal,auc,
0.001,3,target_only_cal,accuracy,
0.001,3,vla,auc,0.8430555555555556
0.001,3,vla,accuracy,0.7592592592592593
0.001,3,vla_st,auc,0.74375
0.001,3,vla_st,accuracy,0.6111111111111112
0.001,3,routed,auc,0.5
0.001,3,routed,accuracy,0.5555555555555556
0.001,3,oracle,auc,0.8847222222222222
0.001,3,oracle,accuracy,0.8148148148148148
0.001,4,uda,auc,0.6583333333333333
0.001,4,uda,accuracy,0.6296296296296297
0.001,4,uda_cal,auc,
0.001,4,uda_cal,accuracy,
0.001,4,target_only,auc,0.5
0.001,4,target_only,accuracy,0.5555555555555556
0.001,4,target_only_cal,auc,
0.001,4,target_only_cal,accuracy,
0.001,4,vla,auc,0.8013888888888888
0.001,4,vla,accuracy,0.7407407407407407
0.001,4,vla_st,auc,0.8159722222222223
0.001,4,vla_st,accuracy,0.7592592592592593
0.001,4,routed,auc,0.5
0.001,4,routed,accuracy,0.5555555555555556
0.001,4,oracle,auc,0.8847222222222222
0.001,4,oracle,accuracy,0.8148148148148148
0.005,0,uda,auc,0.6583333333333333
0.005,0,uda,accuracy,0.6296296296296297
0.005,0,uda_cal,auc,
0.005,0,uda_cal,accuracy,
0.005,0,target_only,auc,0.5
0.005,0,target_only,accuracy,0.5555555555555556
0.005,0,target_only_cal,auc,
0.005,0,target_only_cal,accuracy,
0.005,0,vla,auc,0.7402777777777778
0.005,0,vla,accuracy,0.6296296296296297
0.005,0,vla_st,auc,0.7555555555555555
0.005,0,vla_st,accuracy,0.5555555555555556
0.005,0,routed,auc,0.5
0.005,0,routed,accuracy,0.5555555555555556
0.005,0,oracle,auc,0.8847222222222222
0.005,0,oracle,accuracy,0.8148148148148148
0.005,1,uda,auc,0.6583333333333333
0.005,1,uda,accuracy,0.6296296296296297
0.005,1,uda_cal,auc,
0.005,1,uda_cal,accuracy,
0.005,1,target_only,auc,0.5
0.005,1,target_only,accuracy,0.5555555555555556
0.005,1,target_only_cal,auc,
0.005,1,target_only_cal,accuracy,
0.005,1,vla,auc,0.7583333333333334
0.005,1,vla,accuracy,0.7222222222222222
0.005,1,vla_st,auc,0.7847222222222222
0.005,1,vla_st,accuracy,0.6851851851851852
0.005,1,routed,auc,0.5
0.005,1,routed,accuracy,0.5555555555555556
0.005,1,oracle,auc,0.8847222222222222
0.005,1,oracle,accuracy,0.8148148148148148
0.005,2,uda,auc,0.6583333333333333
0.005,2,uda,accuracy,0.6296296296296297
0.005,2,uda_cal,auc,
0.005,2,uda_cal,accuracy,
0.005,2,target_only,auc,0.5
0.005,2,target_only,accuracy,0.5555555555555556
0.005,2,target_only_cal,auc,
0.005,2,target_only_cal,accuracy,
0.005,2,vla,auc,0.7444444444444445
0.005,2,vla,accuracy,0.6481481481481481
0.005,2,vla_st,auc,0.7444444444444445
0.005,2,vla_st,accuracy,0.6481481481481481
0.005,2,routed,auc,0.5
0.005,2,routed,accuracy,0.5555555555555556
0.005,2,oracle,auc,0.8847222222222222
0.005,2,oracle,accuracy,0.8148148148148148
0.005,3,uda,auc,0.6583333333333333
0.005,3,uda,accuracy,0.6296296296296297
0.005,3,uda_cal,auc,
0.005,3,uda_cal,accuracy,
0.005,3,target_only,auc,0.5
0.005,3,target_only,accuracy,0.5555555555555556
0.005,3,target_only_cal,auc,
0.005,3,target_only_cal,accuracy,
0.005,3,vla,auc,0.8430555555555556
0.005,3,vla,accuracy,0.7592592592592593
0.005,3,vla_st,auc,0.74375
0.005,3,vla_st,accuracy,0.6111111111111112
0.005,3,routed,auc,0.5
0.005,3,routed,accuracy,0.5555555555555556
0.005,3,oracle,auc,0.8847222222222222
0.005,3,oracle,accuracy,0.8148148148148148
0.005,4,uda,auc,0.6583333333333333
0.005,4,uda,accuracy,0.6296296296296297
0.005,4,uda_cal,auc,
0.005,4,uda_cal,accuracy,
0.005,4,target_only,auc,0.5
0.005,4,target_only,accuracy,0.5555555555555556
0.005,4,target_only_cal,auc,
0.005,4,target_only_cal,accuracy,
0.005,4,vla,auc,0.8013888888888888
0.005,4,vla,accuracy,0.7407407407407407
0.005,4,vla_st,auc,0.8159722222222223
0.005,4,vla_st,accuracy,0.7592592592592593
0.005,4,routed,auc,0.5
0.005,4,routed,accuracy,0.5555555555555556
0.005,4,oracle,auc,0.8847222222222222
0.005,4,oracle,accuracy,0.8148148148148148
0.01,0,uda,auc,0.6583333333333333
0.01,0,uda,accuracy,0.6296296296296297
0.01,0,uda_cal,auc,
0.01,0,uda_cal,accuracy,
0.01,0,target_only,auc,0.5
0.01,0,target_only,accuracy,0.5555555555555556
0.01,0,target_only_cal,auc,
0.01,0,target_only_cal,accuracy,
0.01,0,vla,auc,0.7402777777777778
0.01,0,vla,accuracy,0.6296296296296297
0.01,0,vla_st,auc,0.7555555555555555
0.01,0,vla_st,accuracy,0.5555555555555556
0.01,0,routed,auc,0.5
0.01,0,routed,accuracy,0.5555555555555556
0.01,0,oracle,auc,0.8847222222222222
0.01,0,oracle,accuracy,0.8148148148148148
0.01,1,uda,auc,0.6583333333333333
0.01,1,uda,accuracy,0.6296296296296297
0.01,1,uda_cal,auc,
0.01,1,uda_cal,accuracy,
0.01,1,target_only,auc,0.5
0.01,1,target_only,accuracy,0.5555555555555556
0.01,1,target_only_cal,auc,
0.01,1,target_only_cal,accuracy,
0.01,1,vla,auc,0.7583333333333334
0.01,1,vla,accuracy,0.7222222222222222
0.01,1,vla_st,auc,0.7847222222222222
0.01,1,vla_st,accuracy,0.6851851851851852
0.01,1,routed,auc,0.5
0.01,1,routed,accuracy,0.5555555555555556
0.01,1,oracle,auc,0.8847222222222222
0.01,1,oracle,accuracy,0.8148148148148148
0.01,2,uda,auc,0.6583333333333333
0.01,2,uda,accuracy,0.6296296296296297
0.01,2,uda_cal,auc,
0.01,2,uda_cal,accuracy,
0.01,2,target_only,auc,0.5
0.01,2,target_only,accuracy,0.5555555555555556
0.01,2,target_only_cal,auc,
0.01,2,target_only_cal,accuracy,
0.01,2,vla,auc,0.7444444444444445
0.01,2,vla,accuracy,0.6481481481481481
0.01,2,vla_st,auc,0.7444444444444445
0.01,2,vla_st,accuracy,0.6481481481481481
0.01,2,routed,auc,0.5
0.01,2,routed,accuracy,0.5555555555555556
0.01,2,oracle,auc,0.8847222222222222
0.01,2,oracle,accuracy,0.8148148148148148
0.01,3,uda,auc,0.6583333333333333
0.01,3,uda,accuracy,0.6296296296296297
0.01,3,uda_cal,auc,
0.01,3,uda_cal,accuracy,
0.01,3,target_only,auc,0.5
0.01,3,target_only,accuracy,0.5555555555555556
0.01,3,target_only_cal,auc,
0.01,3,target_only_cal,accuracy,
0.01,3,vla,auc,0.8430555555555556
0.01,3,vla,accuracy,0.7592592592592593
0.01,3,vla_st,auc,0.74375
0.01,3,vla_st,accuracy,0.6111111111111112
0.01,3,routed,auc,0.5
0.01,3,routed,accuracy,0.5555555555555556
0.01,3,oracle,auc,0.8847222222222222
0.01,3,oracle,accuracy,0.8148148148148148
0.01,4,uda,auc,0.6583333333333333
0.01,4,uda,accuracy,0.6296296296296297
0.01,4,uda_cal,auc,
0.01,4,uda_cal,accuracy,
0.01,4,target_only,auc,0.5
0.01,4,target_only,accuracy,0.5555555555555556
0.01,4,target_only_cal,auc,
0.01,4,target_only_cal,accuracy,
0.01,4,vla,auc,0.8013888888888888
0.01,4,vla,accuracy,0.7407407407407407
0.01,4,vla_st,auc,0.8159722222222223
0.01,4,vla_st,accuracy,0.7592592592592593
0.01,4,routed,auc,0.5
0.01,4,routed,accuracy,0.5555555555555556
0.01,4,oracle,auc,0.8847222222222222
0.01,4,oracle,accuracy,0.8148148148148148
0.05,0,uda,auc,0.6583333333333333
0.05,0,uda,accuracy,0.6296296296296297
0.05,0,uda_cal,auc,
0.05,0,uda_cal,accuracy,
0.05,0,target_only,auc,0.5
0.05,0,target_only,accuracy,0.5555555555555556
0.05,0,target_only_cal,auc,
0.05,0,target_only_cal,accuracy,
0.05,0,vla,auc,0.7402777777777778
0.05,0,vla,accuracy,0.6296296296296297
0.05,0,vla_st,auc,0.7555555555555555
0.05,0,vla_st,accuracy,0.5555555555555556
0.05,0,routed,auc,0.5
0.05,0,routed,accuracy,0.5555555555555556
0.05,0,oracle,auc,0.8847222222222222
0.05,0,oracle,accuracy,0.8148148148148148
0.05,1,uda,auc,0.6583333333333333
0.05,1,uda,accuracy,0.6296296296296297
0.05,1,uda_cal,auc,
0.05,1,uda_cal,accuracy,
0.05,1,target_only,auc,0.5
0.05,1,target_only,accuracy,0.5555555555555556
0.05,1,target_only_cal,auc,
0.05,1,target_only_cal,accuracy,
0.05,1,vla,auc,0.7583333333333334
0.05,1,vla,accuracy,0.7222222222222222
0.05,1,vla_st,auc,0.7847222222222222
0.05,1,vla_st,accuracy,0.6851851851851852
0.05,1,routed,auc,0.5
0.05,1,routed,accuracy,0.5555555555555556
0.05,1,oracle,auc,0.8847222222222222
0.05,1,oracle,accuracy,0.8148148148148148
0.05,2,uda,auc,0.6583333333333333
0.05,2,uda,accuracy,0.6296296296296297
0.05,2,uda_cal,auc,
