fraction,seed,method,metric,value
0.001,0,uda,auc,0.7855772919064058
0.001,0,uda,accuracy,0.5633333333333334
0.001,0,uda_cal,auc,
0.001,0,uda_cal,accuracy,
0.001,0,target_only,auc,0.5
0.001,0,target_only,accuracy,0.605
0.001,0,target_only_cal,auc,
0.001,0,target_only_cal,accuracy,
0.001,0,vla,auc,0.7492299287466146
0.001,0,vla,accuracy,0.7733333333333333
0.001,0,vla_st,auc,0.7294463623577548
0.001,0,vla_st,accuracy,0.7583333333333333
0.001,0,routed,auc,0.5
0.001,0,routed,accuracy,0.605
0.001,0,oracle,auc,0.9377840545849752
0.001,0,oracle,accuracy,0.8516666666666667
0.001,1,uda,auc,0.7855772919064058
0.001,1,uda,accuracy,0.5633333333333334
0.001,1,uda_cal,auc,
0.001,1,uda_cal,accuracy,
0.001,1,target_only,auc,0.5
0.001,1,target_only,accuracy,0.605
0.001,1,target_only_cal,auc,
0.001,1,target_only_cal,accuracy,
0.001,1,vla,auc,0.744400274319722
0.001,1,vla,accuracy,0.7033333333333334
0.001,1,vla_st,auc,0.744400274319722
0.001,1,vla_st,accuracy,0.7033333333333334
0.001,1,routed,auc,0.5
0.001,1,routed,accuracy,0.605
0.001,1,oracle,auc,0.9377840545849752
0.001,1,oracle,accuracy,0.8516666666666667
0.001,2,uda,auc,0.7855772919064058
0.001,2,uda,accuracy,0.5633333333333334
0.001,2,uda_cal,auc,
0.001,2,uda_cal,accuracy,
0.001,2,target_only,auc,0.5
0.001,2,target_only,accuracy,0.605
0.001,2,target_only_cal,auc,
0.001,2,target_only_cal,accuracy,
0.001,2,vla,auc,0.44508374888121716
0.001,2,vla,accuracy,0.5583333333333333
0.001,2,vla_st,auc,0.4390742871755531
0.001,2,vla_st,accuracy,0.5333333333333333
0.001,2,routed,auc,0.5
0.001,2,routed,accuracy,0.605
0.001,2,oracle,auc,0.9377840545849752
0.001,2,oracle,accuracy,0.8516666666666667
0.001,3,uda,auc,0.7855772919064058
0.001,3,uda,accuracy,0.5633333333333334
0.001,3,uda_cal,auc,
0.001,3,uda_cal,accuracy,
0.001,3,target_only,auc,0.5
0.001,3,target_only,accuracy,0.605
0.001,3,target_only_cal,auc,
0.001,3,target_only_cal,accuracy,
0.001,3,vla,auc,0.7577268658971765
0.001,3,vla,accuracy,0.7616666666666667
0.001,3,vla_st,auc,0.7577268658971765
0.001,3,vla_st,accuracy,0.7616666666666667
0.001,3,routed,auc,0.5
0.001,3,routed,accuracy,0.605
0.001,3,oracle,auc,0.9377840545849752
0.001,3,oracle,accuracy,0.8516666666666667
0.001,4,uda,auc,0.7855772919064058
0.001,4,uda,accuracy,0.5633333333333334
0.001,4,uda_cal,auc,
0.001,4,uda_cal,accuracy,
0.001,4,target_only,auc,0.5
0.001,4,target_only,accuracy,0.605
0.001,4,target_only_cal,auc,
0.001,4,target_only_cal,accuracy,
0.001,4,vla,auc,0.6453429577710361
0.001,4,vla,accuracy,0.6133333333333333
0.001,4,vla_st,auc,0.6813183619857958
0.001,4,vla_st,accuracy,0.6033333333333334
0.001,4,routed,auc,0.5
0.001,4,routed,accuracy,0.605
0.001,4,oracle,auc,0.9377840545849752
0.001,4,oracle,accuracy,0.8516666666666667
0.005,0,uda,auc,0.7855772919064058
0.005,0,uda,accuracy,0.5633333333333334
0.005,0,uda_cal,auc,
0.005,0,uda_cal,accuracy,
0.005,0,target_only,auc,0.5
0.005,0,target_only,accuracy,0.605
0.005,0,target_only_cal,auc,
0.005,0,target_only_cal,accuracy,
0.005,0,vla,auc,0.7200427752786787
0.005,0,vla,accuracy,0.7733333333333333
0.005,0,vla_st,auc,0.7285106531366602
0.005,0,vla_st,accuracy,0.7633333333333333
0.005,0,routed,auc,0.5
0.005,0,routed,accuracy,0.605
0.005,0,oracle,auc,0.9377840545849752
0.005,0,oracle,accuracy,0.8516666666666667
0.005,1,uda,auc,0.7855772919064058
0.005,1,uda,accuracy,0.5633333333333334
0.005,1,uda_cal,auc,
0.005,1,uda_cal,accuracy,
0.005,1,target_only,auc,0.5
0.005,1,target_only,accuracy,0.605
0.005,1,target_only_cal,auc,
0.005,1,target_only_cal,accuracy,
0.005,1,vla,auc,0.7339331171321964
0.005,1,vla,accuracy,0.7083333333333334
0.005,1,vla_st,auc,0.7339331171321964
0.005,1,vla_st,accuracy,0.7083333333333334
0.005,1,routed,auc,0.5
0.005,1,routed,accuracy,0.605
0.005,1,oracle,auc,0.9377840545849752
0.005,1,oracle,accuracy,0.8516666666666667
0.005,2,uda,auc,0.7855772919064058
0.005,2,uda,accuracy,0.5633333333333334
0.005,2,uda_cal,auc,
0.005,2,uda_cal,accuracy,
0.005,2,target_only,auc,0.5
0.005,2,target_only,accuracy,0.605
0.005,2,target_only_cal,auc,
0.005,2,target_only_cal,accuracy,
0.005,2,vla,auc,0.7487824156408737
0.005,2,vla,accuracy,0.69
0.005,2,vla_st,auc,0.7526182422615104
0.005,2,vla_st,accuracy,0.7166666666666667
0.005,2,routed,auc,0.5
0.005,2,routed,accuracy,0.605
0.005,2,oracle,auc,0.9377840545849752
0.005,2,oracle,accuracy,0.8516666666666667
0.005,3,uda,auc,0.7855772919064058
0.005,3,uda,accuracy,0.5633333333333334
0.005,3,uda_cal,auc,
0.005,3,uda_cal,accuracy,
0.005,3,target_only,auc,0.5
0.005,3,target_only,accuracy,0.605
0.005,3,target_only_cal,auc,
0.005,3,target_only_cal,accuracy,
0.005,3,vla,auc,0.7864141995327266
0.005,3,vla,accuracy,0.7616666666666667
0.005,3,vla_st,auc,0.7864141995327266
0.005,3,vla_st,accuracy,0.7616666666666667
0.005,3,routed,auc,0.5
0.005,3,routed,accuracy,0.605
0.005,3,oracle,auc,0.9377840545849752
0.005,3,oracle,accuracy,0.8516666666666667
0.005,4,uda,auc,0.7855772919064058
0.005,4,uda,accuracy,0.5633333333333334
0.005,4,uda_cal,auc,
0.005,4,uda_cal,accuracy,
0.005,4,target_only,auc,0.5
0.005,4,target_only,accuracy,0.605
0.005,4,target_only_cal,auc,
0.005,4,target_only_cal,accuracy,
0.005,4,vla,auc,0.558978740221548
0.005,4,vla,accuracy,0.5683333333333334
0.005,4,vla_st,auc,0.6533052039381153
0.005,4,vla_st,accuracy,0.5583333333333333
0.005,4,routed,auc,0.5
0.005,4,routed,accuracy,0.605
0.005,4,oracle,auc,0.9377840545849752
0.005,4,oracle,accuracy,0.8516666666666667
0.01,0,uda,auc,0.7855772919064058
0.01,0,uda,accuracy,0.5633333333333334
0.01,0,uda_cal,auc,
0.01,0,uda_cal,accuracy,
0.01,0,target_only,auc,0.8213318454975532
0.01,0,target_only,accuracy,0.765
0.01,0,target_only_cal,auc,0.8213318454975532
0.01,0,target_only_cal,accuracy,0.765
0.01,0,vla,auc,0.7553498157640851
0.01,0,vla,accuracy,0.7316666666666667
0.01,0,vla_st,auc,0.7978693726679917
0.01,0,vla_st,accuracy,0.7683333333333333
0.01,0,routed,auc,0.7553498157640851
0.01,0,routed,accuracy,0.7316666666666667
0.01,0,oracle,auc,0.9377840545849752
0.01,0,oracle,accuracy,0.8516666666666667
0.01,1,uda,auc,0.7855772919064058
0.01,1,uda,accuracy,0.5633333333333334
0.01,1,uda_cal,auc,
0.01,1,uda_cal,accuracy,
0.01,1,target_only,auc,0.8095163371342889
0.01,1,target_only,accuracy,0.7466666666666667
0.01,1,target_only_cal,auc,0.8095163371342889
0.01,1,target_only_cal,accuracy,0.7466666666666667
0.01,1,vla,auc,0.865252060303844
0.01,1,vla,accuracy,0.74
0.01,1,vla_st,auc,0.86314816752101
0.01,1,vla_st,accuracy,0.7816666666666666
0.01,1,routed,auc,0.865252060303844
0.01,1,routed,accuracy,0.74
0.01,1,oracle,auc,0.9377840545849752
0.01,1,oracle,accuracy,0.8516666666666667
0.01,2,uda,auc,0.7855772919064058
0.01,2,uda,accuracy,0.5633333333333334
0.01,2,uda_cal,auc,
0.01,2,uda_cal,accuracy,
0.01,2,target_only,auc,0.7348746382118074
0.01,2,target_only,accuracy,0.6883333333333334
0.01,2,target_only_cal,auc,0.7348746382118074
0.01,2,target_only_cal,accuracy,0.6883333333333334
0.01,2,vla,auc,0.7454696562866874
0.01,2,vla,accuracy,0.695
0.01,2,vla_st,auc,0.7534144668782183
0.01,2,vla_st,accuracy,0.7283333333333334
0.01,2,routed,auc,0.7454696562866874
0.01,2,routed,accuracy,0.695
0.01,2,oracle,auc,0.9377840545849752
0.01,2,oracle,accuracy,0.8516666666666667
0.01,3,uda,auc,0.7855772919064058
0.01,3,uda,accuracy,0.5633333333333334
