fraction,seed,method,metric,value
0.001,0,uda,auc,0.4916047994669902
0.001,0,uda,accuracy,0.9856334349151067
0.001,0,uda_cal,auc,
0.001,0,uda_cal,accuracy,
0.001,0,target_only,auc,
0.001,0,target_only,accuracy,
0.001,0,target_only_cal,auc,
0.001,0,target_only_cal,accuracy,
0.001,0,vla,auc,0.5
0.001,0,vla,accuracy,0.9856334349151067
0.001,0,vla_st,auc,0.5
0.001,0,vla_st,accuracy,0.9856334349151067
0.001,0,routed,auc,0.5
0.001,0,routed,accuracy,0.9856334349151067
0.001,0,oracle,auc,0.7326050552640658
0.001,0,oracle,accuracy,0.985778551734146
0.001,1,uda,auc,0.4916047994669902
0.001,1,uda,accuracy,0.9856334349151067
0.001,1,uda_cal,auc,
0.001,1,uda_cal,accuracy,
0.001,1,target_only,auc,
0.001,1,target_only,accuracy,
0.001,1,target_only_cal,auc,
0.001,1,target_only_cal,accuracy,
0.001,1,vla,auc,0.5
0.001,1,vla,accuracy,0.9856334349151067
0.001,1,vla_st,auc,0.5
0.001,1,vla_st,accuracy,0.9856334349151067
0.001,1,routed,auc,0.5
0.001,1,routed,accuracy,0.9856334349151067
0.001,1,oracle,auc,0.7326050552640658
0.001,1,oracle,accuracy,0.985778551734146
0.001,2,uda,auc,0.4916047994669902
0.001,2,uda,accuracy,0.9856334349151067
0.001,2,uda_cal,auc,
0.001,2,uda_cal,accuracy,
0.001,2,target_only,auc,
0.001,2,target_only,accuracy,
0.001,2,target_only_cal,auc,
0.001,2,target_only_cal,accuracy,
0.001,2,vla,auc,0.5
0.001,2,vla,accuracy,0.9856334349151067
0.001,2,vla_st,auc,0.5
0.001,2,vla_st,accuracy,0.9856334349151067
0.001,2,routed,auc,0.5
0.001,2,routed,accuracy,0.9856334349151067
0.001,2,oracle,auc,0.7326050552640658
0.001,2,oracle,accuracy,0.985778551734146
0.001,3,uda,auc,0.4916047994669902
0.001,3,uda,accuracy,0.9856334349151067
0.001,3,uda_cal,auc,
0.001,3,uda_cal,accuracy,
0.001,3,target_only,auc,
0.001,3,target_only,accuracy,
0.001,3,target_only_cal,auc,
0.001,3,target_only_cal,accuracy,
0.001,3,vla,auc,0.5
0.001,3,vla,accuracy,0.9856334349151067
0.001,3,vla_st,auc,0.5
0.001,3,vla_st,accuracy,0.9856334349151067
0.001,3,routed,auc,0.5
0.001,3,routed,accuracy,0.9856334349151067
0.001,3,oracle,auc,0.7326050552640658
0.001,3,oracle,accuracy,0.985778551734146
0.001,4,uda,auc,0.4916047994669902
0.001,4,uda,accuracy,0.9856334349151067
0.001,4,uda_cal,auc,
0.001,4,uda_cal,accuracy,
0.001,4,target_only,auc,
0.001,4,target_only,accuracy,
0.001,4,target_only_cal,auc,
0.001,4,target_only_cal,accuracy,
0.001,4,vla,auc,0.5
0.001,4,vla,accuracy,0.9856334349151067
0.001,4,vla_st,auc,0.5
0.001,4,vla_st,accuracy,0.9856334349151067
0.001,4,routed,auc,0.5
0.001,4,routed,accuracy,0.9856334349151067
0.001,4,oracle,auc,0.7326050552640658
0.001,4,oracle,accuracy,0.985778551734146
0.005,0,uda,auc,0.4916047994669902
0.005,0,uda,accuracy,0.9856334349151067
0.005,0,uda_cal,auc,
0.005,0,uda_cal,accuracy,
0.005,0,target_only,auc,0.5
0.005,0,target_only,accuracy,0.9856334349151067
0.005,0,target_only_cal,auc,
0.005,0,target_only_cal,accuracy,
0.005,0,vla,auc,0.5429984473712388
0.005,0,vla,accuracy,0.9850529676389493
0.005,0,vla_st,auc,0.5429984473712388
0.005,0,vla_st,accuracy,0.9850529676389493
0.005,0,routed,auc,0.5429984473712388
0.005,0,routed,accuracy,0.9850529676389493
0.005,0,oracle,auc,0.7326050552640658
0.005,0,oracle,accuracy,0.985778551734146
0.005,1,uda,auc,0.4916047994669902
0.005,1,uda,accuracy,0.9856334349151067
0.005,1,uda_cal,auc,
0.005,1,uda_cal,accuracy,
0.005,1,target_only,auc,0.5
0.005,1,target_only,accuracy,0.9856334349151067
0.005,1,target_only_cal,auc,
0.005,1,target_only_cal,accuracy,
0.005,1,vla,auc,0.5904993694304648
0.005,1,vla,accuracy,0.9856334349151067
0.005,1,vla_st,auc,0.5904993694304648
0.005,1,vla_st,accuracy,0.9856334349151067
0.005,1,routed,auc,0.5904993694304648
0.005,1,routed,accuracy,0.9856334349151067
0.005,1,oracle,auc,0.7326050552640658
0.005,1,oracle,accuracy,0.985778551734146
0.005,2,uda,auc,0.4916047994669902
0.005,2,uda,accuracy,0.9856334349151067
0.005,2,uda_cal,auc,
0.005,2,uda_cal,accuracy,
0.005,2,target_only,auc,0.5
0.005,2,target_only,accuracy,0.9856334349151067
0.005,2,target_only_cal,auc,
0.005,2,target_only_cal,accuracy,
0.005,2,vla,auc,0.5069087518292466
0.005,2,vla,accuracy,0.9843273835437527
0.005,2,vla_st,auc,0.5069087518292466
0.005,2,vla_st,accuracy,0.9843273835437527
0.005,2,routed,auc,0.5
0.005,2,routed,accuracy,0.9856334349151067
0.005,2,oracle,auc,0.7326050552640658
0.005,2,oracle,accuracy,0.985778551734146
0.005,3,uda,auc,0.4916047994669902
0.005,3,uda,accuracy,0.9856334349151067
0.005,3,uda_cal,auc,
0.005,3,uda_cal,accuracy,
0.005,3,target_only,auc,0.5
0.005,3,target_only,accuracy,0.9856334349151067
0.005,3,target_only_cal,auc,
0.005,3,target_only_cal,accuracy,
0.005,3,vla,auc,0.4935411238414772
0.005,3,vla,accuracy,0.9854883180960673
0.005,3,vla_st,auc,0.4935411238414772
0.005,3,vla_st,accuracy,0.9854883180960673
0.005,3,routed,auc,0.5
0.005,3,routed,accuracy,0.9856334349151067
