target,lake_size,metric,best_level,best_uda,baseline,oracle,n_sources,oracle_gap_closed
adult,5000,accuracy,missing,,,0.8667212611321528,1.0,
adult,10000,accuracy,level0,0.5836830791278534,0.5836830791278534,0.8667212611321528,2.0,
adult,25000,accuracy,level0,0.7592384072064694,0.5668952809908896,0.8667212611321528,6.0,
adult,50000,accuracy,level0,0.7592384072064694,0.6750946872760774,0.8667212611321528,13.0,
adult,100000,accuracy,source_ensemble,0.6492988023339133,0.6397788924147815,0.8667212611321528,22.0,
adult,200000,accuracy,level0,0.6443853004401678,0.590848602722899,0.8667212611321528,54.0,
adult,421179,accuracy,level2,0.773978912887706,0.6444876650629543,0.8667212611321528,143.0,
adult,5000,auc,missing,,,0.9268465203510736,1.0,
adult,10000,auc,level5,0.3255764841503336,0.2214270058418257,0.9268465203510736,2.0,0.14764190126064694
adult,25000,auc,source_ensemble,0.5721485686565619,0.2768470786669351,0.9268465203510736,6.0,0.4543103748281771
adult,50000,auc,source_ensemble,0.6046325654245462,0.4703405922453495,0.9268465203510736,13.0,0.2941735581319669
adult,100000,auc,source_ensemble,0.6091902071628126,0.4596314033217376,0.9268465203510736,22.0,0.32010694515195737
adult,200000,auc,level0,0.4737496286048354,0.3475386731583261,0.9268465203510736,54.0,0.21786508858478543
adult,421179,auc,level2,0.7955372489348542,0.4000405095570437,0.9268465203510736,143.0,0.750744545950979
adult,5000,f1,missing,,,0.7215568862275449,1.0,
adult,10000,f1,level5,0.1158862518708573,0.0788221970554926,0.7215568862275449,2.0,
adult,25000,f1,source_ensemble,0.4034434620753839,0.111694310308629,0.7215568862275449,6.0,
adult,50000,f1,source_ensemble,0.3158945686900958,0.3162429987074537,0.7215568862275449,13.0,
adult,100000,f1,level0,0.4039139633286319,0.2485586162716207,0.7215568862275449,22.0,
adult,200000,f1,level0,0.2483773258329727,0.1453923455206328,0.7215568862275449,54.0,
adult,421179,f1,level2,0.5515840779853778,0.2574299764806499,0.7215568862275449,143.0,
bank,50000,accuracy,level5,0.8279332080061926,0.7835895167532898,0.9062258100187992,1.0,
bank,100000,accuracy,level5,0.8279332080061926,0.7835895167532898,0.9062258100187992,2.0,
bank,200000,accuracy,level5,0.8279332080061926,0.7835895167532898,0.9062258100187992,3.0,
bank,421179,accuracy,level2,0.8318036049983413,0.7806037819307752,0.9062258100187992,8.0,
bank,50000,auc,level2,0.7223117423619191,0.613691373120442,0.9285334742718212,1.0,0.3449995056069434
bank,100000,auc,level2,0.7223117423619191,0.613691373120442,0.9285334742718212,2.0,0.3449995056069434
bank,200000,auc,level2,0.7223117423619191,0.613691373120442,0.9285334742718212,3.0,0.3449995056069434
bank,421179,auc,level2,0.6766131084630563,0.3919289239157068,0.9285334742718212,8.0,0.530528830511073
bank,50000,f1,source_ensemble,0.26432,0.1794549266247379,0.5992438563327032,1.0,
bank,100000,f1,source_ensemble,0.26432,0.1794549266247379,0.5992438563327032,2.0,
bank,200000,f1,source_ensemble,0.26432,0.1794549266247379,0.5992438563327032,3.0,
bank,421179,f1,source_ensemble,0.2893539581437671,0.0685446009389671,0.5992438563327032,8.0,
diabetes,5000,accuracy,ensemble,0.6688311688311688,0.5194805194805194,0.7532467532467533,12.0,
diabetes,10000,accuracy,ensemble,0.6688311688311688,0.6103896103896104,0.7532467532467533,18.0,
diabetes,25000,accuracy,ensemble,0.6818181818181818,0.5844155844155844,0.7532467532467533,47.0,
diabetes,50000,accuracy,level5,0.6753246753246753,0.5909090909090909,0.7532467532467533,103.0,
diabetes,100000,accuracy,source_ensemble,0.6753246753246753,0.5584415584415584,0.7532467532467533,226.0,
diabetes,200000,accuracy,level5,0.6623376623376623,0.474025974025974,0.7532467532467533,442.0,
diabetes,421179,accuracy,level55,0.7012987012987013,0.6298701298701299,0.7532467532467533,940.0,
diabetes,5000,auc,ensemble,0.6381481481481481,0.4339814814814814,0.8157407407407408,12.0,0.534804753820034
diabetes,10000,auc,ensemble,0.7133333333333333,0.561574074074074,0.8157407407407408,18.0,0.5970856102003641
diabetes,25000,auc,ensemble,0.7037037037037037,0.597962962962963,0.8157407407407408,47.0,0.4855442176870747
diabetes,50000,auc,level55,0.6849999999999999,0.5817592592592593,0.8157407407407408,103.0,0.4412346656113965
diabetes,100000,auc,level55,0.7164814814814815,0.5358333333333334,0.8157407407407408,226.0,0.6453853787628183
diabetes,200000,auc,level55,0.6992592592592592,0.4480555555555555,0.8157407407407408,442.0,0.6832032233694283
diabetes,421179,auc,ensemble,0.7114814814814814,0.6587962962962963,0.8157407407407408,940.0,0.33569321533923224
diabetes,5000,f1,ensemble,0.5321100917431193,0.26,0.6481481481481481,12.0,
diabetes,10000,f1,ensemble,0.5321100917431193,0.4642857142857143,0.6481481481481481,18.0,
diabetes,25000,f1,ensemble,0.5504587155963303,0.3962264150943396,0.6481481481481481,47.0,
diabetes,50000,f1,level5,0.5370370370370371,0.4878048780487805,0.6481481481481481,103.0,
diabetes,100000,f1,source_ensemble,0.576271186440678,0.3818181818181818,0.6481481481481481,226.0,
diabetes,200000,f1,level5,0.5185185185185185,0.1290322580645161,0.6481481481481481,442.0,
